id,name,state_id
kabupaten_id_1,Kab Aceh Besar,Nangroe Aceh Darussalam
kabupaten_id_2,Kab Pidie,Nangroe Aceh Darussalam
kabupaten_id_3,Kab Aceh Utara,Nangroe Aceh Darussalam
kabupaten_id_4,Kab Aceh Timur,Nangroe Aceh Darussalam
kabupaten_id_5,Kab Aceh Tengah,Nangroe Aceh Darussalam
kabupaten_id_6,Kab Aceh Barat,Nangroe Aceh Darussalam
kabupaten_id_7,Kab Aceh Selatan,Nangroe Aceh Darussalam
kabupaten_id_8,Kab Aceh Tenggara,Nangroe Aceh Darussalam
kabupaten_id_9,Kab Simeulue,Nangroe Aceh Darussalam
kabupaten_id_10,Kab Bireuen,Nangroe Aceh Darussalam
kabupaten_id_11,Kab Aceh Singkil,Nangroe Aceh Darussalam
kabupaten_id_12,Kab Aceh Tamiang,Nangroe Aceh Darussalam
kabupaten_id_13,Kab Nagan Raya,Nangroe Aceh Darussalam
kabupaten_id_14,Kab Aceh Jaya,Nangroe Aceh Darussalam
kabupaten_id_15,Kab Aceh Barat Daya,Nangroe Aceh Darussalam
kabupaten_id_16,Kab Gayo Lues,Nangroe Aceh Darussalam
kabupaten_id_17,Kab Bener Meriah,Nangroe Aceh Darussalam
kabupaten_id_18,Kab Pidie Jaya,Nangroe Aceh Darussalam
kabupaten_id_19,Kota Sabang,Nangroe Aceh Darussalam
kabupaten_id_20,Kota Banda Aceh,Nangroe Aceh Darussalam
kabupaten_id_21,Kota Lhokseumawe,Nangroe Aceh Darussalam
kabupaten_id_22,Kota Langsa,Nangroe Aceh Darussalam
kabupaten_id_23,Kota Subulussalam,Nangroe Aceh Darussalam
kabupaten_id_24,Kab Deli Serdang,Sumatera Utara
kabupaten_id_25,Kab Langkat,Sumatera Utara
kabupaten_id_26,Kab Karo,Sumatera Utara
kabupaten_id_27,Kab Simalungun,Sumatera Utara
kabupaten_id_28,Kab Dairi,Sumatera Utara
kabupaten_id_29,Kab Asahan,Sumatera Utara
kabupaten_id_30,Kab Labuhan Batu,Sumatera Utara
kabupaten_id_31,Kab Tapanuli Utara,Sumatera Utara
kabupaten_id_32,Kab Tapanuli Tengah,Sumatera Utara
kabupaten_id_33,Kab Tapanuli Selatan,Sumatera Utara
kabupaten_id_34,Kab Nias,Sumatera Utara
kabupaten_id_35,Kab Mandailing Natal,Sumatera Utara
kabupaten_id_36,Kab Toba Samosir,Sumatera Utara
kabupaten_id_37,Kab Nias Selatan,Sumatera Utara
kabupaten_id_38,Kab Pakpak Bharat,Sumatera Utara
kabupaten_id_39,Kab Humbang Hasundutan,Sumatera Utara
kabupaten_id_40,Kab Samosir,Sumatera Utara
kabupaten_id_41,Kab Serdang Bedagai,Sumatera Utara
kabupaten_id_42,Kab Batu Bara,Sumatera Utara
kabupaten_id_43,Kab Padang Lawas Utara,Sumatera Utara
kabupaten_id_44,Kab Padang Lawas,Sumatera Utara
kabupaten_id_45,Kab Labuhanbatu Utara,Sumatera Utara
kabupaten_id_46,Kab Labuhanbatu Selatan,Sumatera Utara
kabupaten_id_47,Kab Nias Barat,Sumatera Utara
kabupaten_id_48,Kab Nias Utara,Sumatera Utara
kabupaten_id_49,Kota Medan,Sumatera Utara
kabupaten_id_50,Kota Binjai,Sumatera Utara
kabupaten_id_51,Kota Tebing Tinggi,Sumatera Utara
kabupaten_id_52,Kota Pematang Siantar,Sumatera Utara
kabupaten_id_53,Kota Tanjung Balai,Sumatera Utara
kabupaten_id_54,Kota Sibolga,Sumatera Utara
kabupaten_id_55,Kota Padang Sidempuan,Sumatera Utara
kabupaten_id_56,Kota Gunung Sitoli,Sumatera Utara
kabupaten_id_57,Kab Agam,Sumatera Barat
kabupaten_id_58,Kab Pasaman,Sumatera Barat
