id,state_id,kabupaten_id,name
kecamatan_id_1,Bali,Kab Karang Asem,Kec Abang
kecamatan_id_2,Bali,Kab Badung,Kec Abiansemal
kecamatan_id_3,Bali,Kab Bangli,Kec Bangli
kecamatan_id_4,Bali,Kab Buleleng,Kec Banjar
kecamatan_id_5,Bali,Kab Klungkung,Kec Banjarangkan
kecamatan_id_6,Bali,Kab Tabanan,Kec Baturiti
kecamatan_id_7,Bali,Kab Karang Asem,Kec Bebandem
kecamatan_id_8,Bali,Kab Gianyar,Kec Blahbatuh
kecamatan_id_9,Bali,Kab Buleleng,Kec Buleleng
kecamatan_id_10,Bali,Kab Buleleng,Kec Busungbiu
kecamatan_id_11,Bali,Kab Klungkung,Kec Dawan
kecamatan_id_12,Bali,Kota Denpasar,Kec Denpasar Barat
kecamatan_id_13,Bali,Kota Denpasar,Kec Denpasar Selatan
kecamatan_id_14,Bali,Kota Denpasar,Kec Denpasar Timur
kecamatan_id_15,Bali,Kota Denpasar,Kec Denpasar Utara
kecamatan_id_16,Bali,Kab Buleleng,Kec Gerokgak
kecamatan_id_17,Bali,Kab Gianyar,Kec Gianyar
kecamatan_id_18,Bali,Kab Jembrana,Kec Jembrana
kecamatan_id_19,Bali,Kab Karang Asem,Kec Karang Asem
kecamatan_id_20,Bali,Kab Tabanan,Kec Kediri
kecamatan_id_21,Bali,Kab Tabanan,Kec Kerambitan
kecamatan_id_22,Bali,Kab Bangli,Kec Kintamani
kecamatan_id_23,Bali,Kab Klungkung,Kec Klungkung
kecamatan_id_24,Bali,Kab Karang Asem,Kec Kubu
kecamatan_id_25,Bali,Kab Buleleng,Kec Kubutambahan
kecamatan_id_26,Bali,Kab Badung,Kec Kuta
kecamatan_id_27,Bali,Kab Badung,Kec Kuta Selatan
kecamatan_id_28,Bali,Kab Badung,Kec Kuta Utara
kecamatan_id_29,Bali,Kab Karang Asem,Kec Manggis
kecamatan_id_30,Bali,Kab Tabanan,Kec Marga
kecamatan_id_31,Bali,Kab Jembrana,Kec Melaya
kecamatan_id_32,Bali,Kab Jembrana,Kec Mendoyo
kecamatan_id_33,Bali,Kab Badung,Kec Mengwi
kecamatan_id_34,Bali,Kab Jembrana,Kec Negara
kecamatan_id_35,Bali,Kab Klungkung,Kec Nusapenida
kecamatan_id_36,Bali,Kab Gianyar,Kec Payangan
kecamatan_id_37,Bali,Kab Jembrana,Kec Pekutatan
kecamatan_id_38,Bali,Kab Tabanan,Kec Penebel
kecamatan_id_39,Bali,Kab Badung,Kec Petang
kecamatan_id_40,Bali,Kab Tabanan,Kec Pupuan
kecamatan_id_41,Bali,Kab Karang Asem,Kec Rendang
kecamatan_id_42,Bali,Kab Buleleng,Kec Sawan
kecamatan_id_43,Bali,Kab Karang Asem,Kec Selat
kecamatan_id_44,Bali,Kab Tabanan,Kec Selemadeg
kecamatan_id_45,Bali,Kab Tabanan,Kec Selemadeg Barat
kecamatan_id_46,Bali,Kab Tabanan,Kec Selemadeg Timur
kecamatan_id_47,Bali,Kab Buleleng,Kec Seririt
kecamatan_id_48,Bali,Kab Karang Asem,Kec Sidemen
kecamatan_id_49,Bali,Kab Buleleng,Kec Sukasada
kecamatan_id_50,Bali,Kab Gianyar,Kec Sukawati
kecamatan_id_51,Bali,Kab Bangli,Kec Susut
kecamatan_id_52,Bali,Kab Tabanan,Kec Tabanan
kecamatan_id_53,Bali,Kab Gianyar,Kec Tampak Siring
kecamatan_id_54,Bali,Kab Gianyar,Kec Tegallalang
kecamatan_id_55,Bali,Kab Buleleng,Kec Tejakula
kecamatan_id_56,Bali,Kab Bangli,Kec Tembuku
kecamatan_id_57,Bali,Kab Gianyar,Kec Ubud
kecamatan_id_58,Banten,Kab Pandeglang,Kec Angsana
kecamatan_id_59,Banten,Kab Serang,Kec Anyar
kecamatan_id_60,Banten,Kab Tangerang,Kec Balaraja
kecamatan_id_61,Banten,Kab Serang,Kec Bandung
kecamatan_id_62,Banten,Kab Pandeglang,Kec Banjar
kecamatan_id_63,Banten,Kab Lebak,Kec Banjarsari
kecamatan_id_64,Banten,Kab Serang,Kec Baros
kecamatan_id_65,Banten,Kota Tangerang,Kec Batuceper
kecamatan_id_66,Banten,Kab Lebak,Kec Bayah
kecamatan_id_67,Banten,Kota Tangerang,Kec Benda
kecamatan_id_68,Banten,Kab Serang,Kec Binuang
kecamatan_id_69,Banten,Kab Serang,Kec Bojonegara
kecamatan_id_70,Banten,Kab Pandeglang,Kec Bojong
kecamatan_id_71,Banten,Kab Lebak,Kec Bojongmanik
kecamatan_id_72,Banten,Kab Pandeglang,Kec Cadasari
kecamatan_id_73,Banten,Kab Serang,Kec Carenang
kecamatan_id_74,Banten,Kab Pandeglang,Kec Carita
kecamatan_id_75,Banten,Kab Lebak,Kec Cibadak
