id,name,class,is_company,street,owner,city,zip,phone,fax,website,email,active,hospital,supplier,customer,child_ids/name,child_ids/active,child_ids/type,child_ids/function
res_partner_200,RSU Morawa Utama,other,TRUE,"Jl. Medan Tanjung Morawa Km.18,5, Tanjung Morawa   Deli Serdang",swasta,Deli Serdang,61,7945058,,0,0,TRUE,FALSE,FALSE,TRUE,Lilis,TRUE,Contact,Direktur
res_partner_1430,RSIA HST,c,TRUE,Jl. Dr. Soetomo 39A,swasta,Trenggalek,66300,0355   794590,,  , rsiahst@yahoo.com,TRUE,FALSE,FALSE,TRUE,AGUS TRIJANTO,TRUE,Contact,Direktur
res_partner_2261,RSUD Labuha,d,TRUE,"Jln. Raya Labuha Babang,",pemda,Halmahera Selatan,97791,(0927) 21118,,  , rsudlabuha@gmail.com,TRUE,FALSE,FALSE,TRUE,"Aisa Badaruni, S.KM,M.Mkes",TRUE,Contact,Direktur
res_partner_918,Rumkit Bhayangkara Indramayu,other,TRUE,"Jl. Raya Pantura Km.73 75, Losarang Indramayu",polisi,Indramayu,45253,0234 507878,0234 507877,0, rsb.indramayu@gmail.com,TRUE,FALSE,FALSE,TRUE,AKBP dr. FAIZAL HASANI Sp.S,TRUE,Contact,Direktur
res_partner_2016,Rumkit Bhayangkara Balikpapan,c,TRUE,"Jl. Jend. Sudirman No.14, Balikpapan",polisi,Kota Balikpapan,76111,542421261,542416697,  , rsb.balikpapan@yahoo.co.id,TRUE,FALSE,FALSE,TRUE,"AKBP Dr. HA. BUDI PRASETIJO, MM",TRUE,Contact,Direktur
res_partner_2229,RSU Mamuju Utara,other,TRUE,Jl. Bukit Husada   No. 10 Ako Pasangakayu,pemda,Mamuju Utara,91571, , ,0, ibrahimdoru@yahoo.co.id,TRUE,FALSE,FALSE,TRUE,"AMALIA ANWAR, SKM",TRUE,Contact,Direktur
res_partner_1951,RSUD Tamiang Layang,d,TRUE,Jl. Nansarunai Tamiang Layang No.62,pemda,Barito Timur,73611,0526 2091235,0526 2091235,  , rsudtamianglayang.baritotimur@gmail.com,TRUE,FALSE,FALSE,TRUE,"ANDA KRISELINA, S.Si,Apt,M.Kes",TRUE,Contact,Direktur
res_partner_1036,RSB Emma Poeradiredja,c,TRUE,"Jl. Sumatera No.46   48, Bandung",organisasi,Kota Bandung,40113,4205437 4206544,4210108, www.emmapoeradiredja.com, emmapoeradiredja@yahoo.com,TRUE,FALSE,FALSE,TRUE,"Ari Harsoputranto, drg., CHMt.",TRUE,Contact,Direktur
res_partner_100,RSUD Simeulue,c,TRUE,JALAN RSUD SIMEULUE,pemda,Simeulue,23891,(0650) 7000007,(0650) 21880,0,0,TRUE,FALSE,FALSE,TRUE,"ASLUDIN,SE.M.Kes",TRUE,Contact,Direktur
res_partner_813,RS Pantai Indah Kapuk,b,TRUE,Jl. Pantai Indah Utara 3 Jakut,swasta,Jakarta Utara,14460,021 5880911,021 5880910, www.pikhospital.co.id,  ,TRUE,FALSE,FALSE,TRUE,"B. Teddy Batanghari,MD,MBA",TRUE,Contact,Direktur
res_partner_1005,RSU Ridogalih,d,TRUE,Jl. Gudang No. 24 Sukabumi,organisasi,Kota Sukabumi,43112,0266 221983,0266 226161,  , ridogalihrumahsakit@gmail.com,TRUE,FALSE,FALSE,TRUE,"Bambang Soegianto.,dr.,MM MA",TRUE,Contact,Direktur
res_partner_117,RSUD TGK. ABDULLAH SYAFII BEUREUNEUN,other,TRUE,"Jl. Banda Aceh   Medan Km.125,5 Kota Mini   Beureunuen",pemda,Pidie,24173,0653 821576,(0653) 821576, 0, rsudtasbrn@gmail.com,TRUE,FALSE,FALSE,TRUE,"BASRI, SKM",TRUE,Contact,Direktur
res_partner_1351,pku muhammadiyah wates,d,TRUE,Jl KH.Ahmad Dahlan NO II Wates Kulon Progo,organisasi,Kulon Progo,55611,(0274)773430,,  ,0,TRUE,FALSE,FALSE,TRUE,Berubah menjadi KLINIK,TRUE,Contact,Direktur
res_partner_2283,RS Kusta Merauke,other,TRUE,Jl. Garuda Mopa Merauke,pemda,Merauke,971,,,  ,  ,TRUE,FALSE,FALSE,TRUE,Charles Awom,TRUE,Contact,Direktur
res_partner_2450,RS Bayangkara,other,TRUE,jl Raya Solo KM 23 Yogyakarta,angkatan,SLEMAN,1,27455555,, www.rsbayangkara,0,TRUE,FALSE,FALSE,TRUE,dd,TRUE,Contact,Direktur
res_partner_210,RSU Delia,d,TRUE,Jl. K.H. Dewantara No.24 Kec. Selesai Kabupaten Langkat,organisasi,Langkat,20762,061 8826957,061 8824610,  , rsu_delia@yahoo.com,TRUE,FALSE,FALSE,TRUE,"Delia Pratiwi Br Sitepu, SH",TRUE,Contact,Direktur
res_partner_2354,RS Andini Rumbai,other,TRUE,PT. Andini Rumbai,swasta,Kota Pekanbaru,53171,(0761) 53171,,  ,0,TRUE,FALSE,FALSE,TRUE,Depsi Indri P. Simanjuntak,TRUE,Contact,Direktur
res_partner_1586,RSI Cahaya Giri Gresik,d,TRUE,"Jl. Raya Bringkang No. 90 94, Bringkang, Menganti",swasta,Gresik,,031 7915321,, www.rsi cahayagiri.net, cahayagiri.rsi@gmail.com,TRUE,FALSE,FALSE,TRUE,"Dian Kania Sari, dr., M.Kes",TRUE,Contact,Direktur
res_partner_1192,RS PKU Muhammadiyah K.A,c,TRUE,Jl. Raya Papahan Ds. Papahan Kec. Tasikmadu Karanganyar,organisasi,Karanganyar,57722,271494019,271495389,  , rspkumuhammadiyah@yahoo.com,TRUE,FALSE,FALSE,TRUE,dr Aditiya Nurcahyanto,TRUE,Contact,Direktur
res_partner_2443,RS BERSALIN PERMATA INSANI,other,TRUE,jl. Yos sudarso No 38,swasta,Brebes,52212,0283 673333,0283 673333,  , liealie72@gmail.com,TRUE,FALSE,FALSE,TRUE,dr Ahmad Ali Syaifuddin,TRUE,Contact,Direktur
res_partner_1749,RS Aminah,c,TRUE,"Jl. Hos Cokroaminoto No.4 A, Kreo Selatan",swasta,Kota Tangerang,15156,021 7371919,021 7371333,  , rsaminah@cbn.net.id,TRUE,FALSE,FALSE,TRUE,Dr Akmal Yadi MH.Kes,TRUE,Contact,Direktur
res_partner_633,RS Lanu Ranai,other,TRUE,Natuna Kab.Kepulauan Riau,angkatan,Natuna,771,,,  ,  ,TRUE,FALSE,FALSE,TRUE,Dr Aplin Ismianto,TRUE,Contact,Direktur
